id_version,NC,mWMC,mBC
ee24b3cdf2c7709e4f0d247d8260d39ab97a5793,1010,18.4277,0.0818
1748aadc1cb3bd6ccaeb32c32bdcc5de409b431b,1017,17.9410,0.0880
44a36f4300cbfae56e691e4867e4d691580e48c5,1027,17.9241,0.0881
4c60251277daa73179c6d07f91e65d6addea349b,981,18.7706,0.0801
6732151b8ba0396ac0dd45e896b63c4df8f36be3,1010,19.0396,0.0815
0964e1a75d38ec8d734f8340a6335accc414119c,990,18.7970,0.0891
581d1dd45d04f59d27d2b28d06993d48907b1c9b,917,18.1156,0.0816
7b2014e173b130c4824ff302d9cd64be2807a1cf,950,18.4042,0.0805
0b3b0cccbfdb860139efa8f393158b047965b50a,1005,19.0289,0.0818
fa3526ffedebac95026bb9bd39e12f009d0c629d,946,18.2135,0.0802
389a92452034cf5d9a8adec95986e439cec9907c,912,18.1305,0.0822
474c011cdd41db955ec84e62493559dd14a1d148,1010,18.3485,0.0819
47263901ed151e5d540d6ff42ffc9758faa81ff9,958,18.5146,0.0801
a3072903ee51609aac5519d5c73a9a7e7a92ba04,946,18.2135,0.0802
878b061e09dc7f9875324312c0e4ecfc04544285,920,18.1228,0.0816
7b5428345cedf9ec3e295062523857e7184c5c11,985,18.7695,0.0886
68706ec4b9e7826445559f73f7540525c1900dbc,964,18.7313,0.0796
c15e68904aba9fe596cf7c771e37b7b2c1a40afa,1005,19.0239,0.0818
e6d215db2ebf7d91b431c6026c5605da111dfa8b,1015,17.9074,0.0883
60e2af21c9870869e37fc4382cf5d6769b886669,920,18.1054,0.0816
a38e9bc44ba8349cad01961cfa8a7747c63af826,909,17.8185,0.0824
2763da008262096526598b2fd853a39b2ddab851,948,18.2563,0.0803
ec6fc9d73d9f858e1f2bc0f243c882690632fc43,1010,19.0475,0.0814
aea2347fe50bb7110fa449a4b152ac77c397b413,935,18.1594,0.0802
253757b0ab7587beb5821d2f75bc960aca5bddaa,1010,19.0396,0.0815
df5e46f3399aa995363cecbd9753a5e743e83c65,1005,19.0229,0.0818
53c5b4cf1e3c5933301793e9a809d3e0b571c289,989,18.7968,0.0813
d940e676eec5f9ed78ececb1a1df141824975f9b,1010,18.8970,0.0814
